"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"Freaks",0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,"audio_features","7EkWXAI1wn8Ii883ecd9xr","spotify:track:7EkWXAI1wn8Ii883ecd9xr","https://api.spotify.com/v1/tracks/7EkWXAI1wn8Ii883ecd9xr","https://api.spotify.com/v1/audio-analysis/7EkWXAI1wn8Ii883ecd9xr",147062,4,"linus"
"The Look",0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,"audio_features","6zfczP87XO2SxWlQtnjFNa","spotify:track:6zfczP87XO2SxWlQtnjFNa","https://api.spotify.com/v1/tracks/6zfczP87XO2SxWlQtnjFNa","https://api.spotify.com/v1/audio-analysis/6zfczP87XO2SxWlQtnjFNa",277653,4,"linus"
"Book Of Revelation",0.601,0.724,7,-5.582,1,0.0633,0.0331,7.11e-06,0.0628,0.453,179.981,"audio_features","3Z11mdJPgsu6UW304ZkaPX","spotify:track:3Z11mdJPgsu6UW304ZkaPX","https://api.spotify.com/v1/tracks/3Z11mdJPgsu6UW304ZkaPX","https://api.spotify.com/v1/audio-analysis/3Z11mdJPgsu6UW304ZkaPX",210156,4,"linus"
"Days",0.586,0.721,2,-7.743,1,0.0289,0.37,0.168,0.141,0.656,84.988,"audio_features","3xQoeVaWyF046QIhdbGRCO","spotify:track:3xQoeVaWyF046QIhdbGRCO","https://api.spotify.com/v1/tracks/3xQoeVaWyF046QIhdbGRCO","https://api.spotify.com/v1/audio-analysis/3xQoeVaWyF046QIhdbGRCO",269082,4,"linus"
"How It Ended",0.558,0.688,11,-7.276,0,0.0348,0.166,3.87e-05,0.28,0.41,169.996,"audio_features","565tT6fKW3IAV1zFePyWID","spotify:track:565tT6fKW3IAV1zFePyWID","https://api.spotify.com/v1/tracks/565tT6fKW3IAV1zFePyWID","https://api.spotify.com/v1/audio-analysis/565tT6fKW3IAV1zFePyWID",260726,4,"linus"
"Blue Stripes",0.561,0.793,11,-8.478,1,0.0454,0.072,0.203,0.099,0.846,165.023,"audio_features","7gwRfPI5O0fw5vGTCFU9hj","spotify:track:7gwRfPI5O0fw5vGTCFU9hj","https://api.spotify.com/v1/tracks/7gwRfPI5O0fw5vGTCFU9hj","https://api.spotify.com/v1/audio-analysis/7gwRfPI5O0fw5vGTCFU9hj",247639,4,"linus"
"What We Had",0.406,0.429,7,-10.464,1,0.0288,0.713,0.951,0.162,0.102,127.994,"audio_features","4syEbTT8rnDWvwtEOUc2R4","spotify:track:4syEbTT8rnDWvwtEOUc2R4","https://api.spotify.com/v1/tracks/4syEbTT8rnDWvwtEOUc2R4","https://api.spotify.com/v1/audio-analysis/4syEbTT8rnDWvwtEOUc2R4",232234,4,"linus"
"I Need A Doctor",0.515,0.898,2,-7.098,1,0.0404,0.0257,0.569,0.0979,0.785,169.968,"audio_features","0f8tNnDGGeFfHyHlo7GmrZ","spotify:track:0f8tNnDGGeFfHyHlo7GmrZ","https://api.spotify.com/v1/tracks/0f8tNnDGGeFfHyHlo7GmrZ","https://api.spotify.com/v1/audio-analysis/0f8tNnDGGeFfHyHlo7GmrZ",256423,4,"linus"
"In The Cold",0.451,0.852,8,-8.232,0,0.0506,0.0975,0.0284,0.279,0.16,170.024,"audio_features","19H4gP3yYFJBk1Jq8mCVwR","spotify:track:19H4gP3yYFJBk1Jq8mCVwR","https://api.spotify.com/v1/tracks/19H4gP3yYFJBk1Jq8mCVwR","https://api.spotify.com/v1/audio-analysis/19H4gP3yYFJBk1Jq8mCVwR",209562,4,"linus"
"If He Likes It Let Him Do It",0.418,0.717,11,-6.71,0,0.0351,0.0267,0.0909,0.1,0.161,169.961,"audio_features","1J28hotf0E07J8PDlAFrFr","spotify:track:1J28hotf0E07J8PDlAFrFr","https://api.spotify.com/v1/tracks/1J28hotf0E07J8PDlAFrFr","https://api.spotify.com/v1/audio-analysis/1J28hotf0E07J8PDlAFrFr",231243,4,"linus"
