"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"Fearless (Taylor’s Version)",0.569,0.741,5,-4.963,1,0.0282,0.0122,0,0.333,0.43,100.118,"audio_features","77sMIMlNaSURUAXq5coCxE","spotify:track:77sMIMlNaSURUAXq5coCxE","https://api.spotify.com/v1/tracks/77sMIMlNaSURUAXq5coCxE","https://api.spotify.com/v1/audio-analysis/77sMIMlNaSURUAXq5coCxE",241592,4,"Maxwell"
"The Archer",0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,"audio_features","3pHkh7d0lzM2AldUtz2x37","spotify:track:3pHkh7d0lzM2AldUtz2x37","https://api.spotify.com/v1/tracks/3pHkh7d0lzM2AldUtz2x37","https://api.spotify.com/v1/audio-analysis/3pHkh7d0lzM2AldUtz2x37",211240,4,"Maxwell"
"You Need To Calm Down",0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,"audio_features","6RRNNciQGZEXnqk8SQ9yv5","spotify:track:6RRNNciQGZEXnqk8SQ9yv5","https://api.spotify.com/v1/tracks/6RRNNciQGZEXnqk8SQ9yv5","https://api.spotify.com/v1/audio-analysis/6RRNNciQGZEXnqk8SQ9yv5",171360,4,"Maxwell"
"Miss Americana & The Heartbreak Prince",0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,"audio_features","214nt20w5wOxJnY462klLw","spotify:track:214nt20w5wOxJnY462klLw","https://api.spotify.com/v1/tracks/214nt20w5wOxJnY462klLw","https://api.spotify.com/v1/audio-analysis/214nt20w5wOxJnY462klLw",234147,4,"Maxwell"
"Round & Round",0.916,0.401,1,-13.072,1,0.519,0.659,5.22e-06,0.0818,0.42,141.008,"audio_features","3MaHYFW7xgAPIElN7ONfld","spotify:track:3MaHYFW7xgAPIElN7ONfld","https://api.spotify.com/v1/tracks/3MaHYFW7xgAPIElN7ONfld","https://api.spotify.com/v1/audio-analysis/3MaHYFW7xgAPIElN7ONfld",138000,4,"Maxwell"
"Crazier",0.452,0.544,4,-5.423,1,0.0277,0.0631,5.33e-06,0.104,0.158,133.042,"audio_features","5vyxXfD5gLlyPxGZMEjtmd","spotify:track:5vyxXfD5gLlyPxGZMEjtmd","https://api.spotify.com/v1/tracks/5vyxXfD5gLlyPxGZMEjtmd","https://api.spotify.com/v1/audio-analysis/5vyxXfD5gLlyPxGZMEjtmd",191947,3,"Maxwell"
"VIP Business",0.808,0.872,0,-7.284,0,0.0901,0.0108,0.0203,0.218,0.11,129.054,"audio_features","6vSmzEaYNo36DyoNNq0L8M","spotify:track:6vSmzEaYNo36DyoNNq0L8M","https://api.spotify.com/v1/tracks/6vSmzEaYNo36DyoNNq0L8M","https://api.spotify.com/v1/audio-analysis/6vSmzEaYNo36DyoNNq0L8M",180465,4,"Maxwell"
"Last Train",0.776,0.637,1,-10.74,1,0.0621,0.252,0.898,0.117,0.109,118.006,"audio_features","1HVAVHLQqIuDLDun48Zegt","spotify:track:1HVAVHLQqIuDLDun48Zegt","https://api.spotify.com/v1/tracks/1HVAVHLQqIuDLDun48Zegt","https://api.spotify.com/v1/audio-analysis/1HVAVHLQqIuDLDun48Zegt",272590,4,"Maxwell"
"Rave",0.52,0.844,0,-7.687,0,0.0327,0.571,0.956,0.144,0.191,123.963,"audio_features","57KkNRa2cLuqdSVhAcEyi4","spotify:track:57KkNRa2cLuqdSVhAcEyi4","https://api.spotify.com/v1/tracks/57KkNRa2cLuqdSVhAcEyi4","https://api.spotify.com/v1/audio-analysis/57KkNRa2cLuqdSVhAcEyi4",288387,4,"Maxwell"
"On Me",0.871,0.426,8,-12.469,0,0.142,0.487,0.0545,0.102,0.296,131.081,"audio_features","4R9LaVoXQvVN6pzka1YZF3","spotify:track:4R9LaVoXQvVN6pzka1YZF3","https://api.spotify.com/v1/tracks/4R9LaVoXQvVN6pzka1YZF3","https://api.spotify.com/v1/audio-analysis/4R9LaVoXQvVN6pzka1YZF3",118650,4,"Maxwell"
"he'll give us what we really need",0.598,0.788,1,-8.39,1,0.393,0.492,0.0729,0.143,0.697,90.86,"audio_features","1pmlUQE8cYdzqv9pAjajRv","spotify:track:1pmlUQE8cYdzqv9pAjajRv","https://api.spotify.com/v1/tracks/1pmlUQE8cYdzqv9pAjajRv","https://api.spotify.com/v1/audio-analysis/1pmlUQE8cYdzqv9pAjajRv",63304,4,"Maxwell"
"Home",0.931,0.535,0,-11.464,1,0.101,0.754,1.09e-06,0.156,0.576,134.994,"audio_features","28DIBEcn4N49Eoeocxj5AT","spotify:track:28DIBEcn4N49Eoeocxj5AT","https://api.spotify.com/v1/tracks/28DIBEcn4N49Eoeocxj5AT","https://api.spotify.com/v1/audio-analysis/28DIBEcn4N49Eoeocxj5AT",86801,4,"Maxwell"
"Baltimore Blues No. 1",0.745,0.546,5,-4.5,1,0.0321,0.44,0.00206,0.205,0.425,114.97,"audio_features","3Dy8QNZ77cre9ThUPRguy0","spotify:track:3Dy8QNZ77cre9ThUPRguy0","https://api.spotify.com/v1/tracks/3Dy8QNZ77cre9ThUPRguy0","https://api.spotify.com/v1/audio-analysis/3Dy8QNZ77cre9ThUPRguy0",181467,4,"Maxwell"
"Moonlight",0.706,0.451,9,-14.272,1,0.178,0.809,0,0.123,0.633,125.958,"audio_features","2JeDz9THfaAV1S132I7lxE","spotify:track:2JeDz9THfaAV1S132I7lxE","https://api.spotify.com/v1/tracks/2JeDz9THfaAV1S132I7lxE","https://api.spotify.com/v1/audio-analysis/2JeDz9THfaAV1S132I7lxE",184000,4,"Maxwell"
"Wholehearted",0.59,0.876,8,-7.214,0,0.0356,0.0214,0.904,0.177,0.186,124.018,"audio_features","4y8LbsOrJseLAuKrQ1KflP","spotify:track:4y8LbsOrJseLAuKrQ1KflP","https://api.spotify.com/v1/tracks/4y8LbsOrJseLAuKrQ1KflP","https://api.spotify.com/v1/audio-analysis/4y8LbsOrJseLAuKrQ1KflP",206613,4,"Maxwell"
"Mantra",0.678,0.823,5,-9.001,0,0.0368,0.00404,0.839,0.123,0.159,126.989,"audio_features","2FZStCHAHy3l16yWl9ELpe","spotify:track:2FZStCHAHy3l16yWl9ELpe","https://api.spotify.com/v1/tracks/2FZStCHAHy3l16yWl9ELpe","https://api.spotify.com/v1/audio-analysis/2FZStCHAHy3l16yWl9ELpe",261500,4,"Maxwell"
"strangely sentimental",0.862,0.941,5,-5.38,0,0.1,0.0234,0.0284,0.319,0.966,125.025,"audio_features","4NplzoEshWF8ICYa6pqhQK","spotify:track:4NplzoEshWF8ICYa6pqhQK","https://api.spotify.com/v1/tracks/4NplzoEshWF8ICYa6pqhQK","https://api.spotify.com/v1/audio-analysis/4NplzoEshWF8ICYa6pqhQK",134745,4,"Maxwell"
"See The Light (feat. Fridayy)",0.586,0.877,3,-8.164,1,0.0373,0.0115,0.841,0.103,0.106,129.012,"audio_features","7MWHxi7gx2M8ghbRRWyQYU","spotify:track:7MWHxi7gx2M8ghbRRWyQYU","https://api.spotify.com/v1/tracks/7MWHxi7gx2M8ghbRRWyQYU","https://api.spotify.com/v1/audio-analysis/7MWHxi7gx2M8ghbRRWyQYU",308861,4,"Maxwell"
"Feel Aight",0.736,0.96,5,-6.538,0,0.0501,0.0493,0.604,0.0666,0.905,137.993,"audio_features","6Jc9zvnkG7Q2t4pmpuVTl2","spotify:track:6Jc9zvnkG7Q2t4pmpuVTl2","https://api.spotify.com/v1/tracks/6Jc9zvnkG7Q2t4pmpuVTl2","https://api.spotify.com/v1/audio-analysis/6Jc9zvnkG7Q2t4pmpuVTl2",283896,4,"Maxwell"
"Mad 4 U",0.569,0.779,4,-7.916,0,0.27,0.229,0.154,0.383,0.335,132.125,"audio_features","7koxUBppPp79nZj906cAJk","spotify:track:7koxUBppPp79nZj906cAJk","https://api.spotify.com/v1/tracks/7koxUBppPp79nZj906cAJk","https://api.spotify.com/v1/audio-analysis/7koxUBppPp79nZj906cAJk",249231,4,"Maxwell"
"Into You - Club Asylum Mix",0.743,0.887,11,-6.669,0,0.041,0.123,0.0114,0.344,0.892,131.655,"audio_features","7JKq3sdj0Y2VxcdyUpBNA1","spotify:track:7JKq3sdj0Y2VxcdyUpBNA1","https://api.spotify.com/v1/tracks/7JKq3sdj0Y2VxcdyUpBNA1","https://api.spotify.com/v1/audio-analysis/7JKq3sdj0Y2VxcdyUpBNA1",339867,4,"Maxwell"
"Horizon Ouverture",0.146,0.135,4,-17.494,0,0.0367,0.94,0.845,0.172,0.0392,84.855,"audio_features","1kOPoZDgQean1ecxJT0GIT","spotify:track:1kOPoZDgQean1ecxJT0GIT","https://api.spotify.com/v1/tracks/1kOPoZDgQean1ecxJT0GIT","https://api.spotify.com/v1/audio-analysis/1kOPoZDgQean1ecxJT0GIT",127693,3,"Maxwell"
"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)",0.784,0.7,1,-5.289,1,0.0396,0.0112,1.76e-05,0.163,0.204,126.015,"audio_features","6l8mgVN9Xf1hiDIFGA6CTE","spotify:track:6l8mgVN9Xf1hiDIFGA6CTE","https://api.spotify.com/v1/tracks/6l8mgVN9Xf1hiDIFGA6CTE","https://api.spotify.com/v1/audio-analysis/6l8mgVN9Xf1hiDIFGA6CTE",260962,4,"Maxwell"
"Bloom (ft. Ell Murphy)",0.688,0.937,4,-4.37,0,0.0459,0.138,0.0654,0.261,0.565,131.987,"audio_features","2Qgt58CMtZXxlrJsdlfDx7","spotify:track:2Qgt58CMtZXxlrJsdlfDx7","https://api.spotify.com/v1/tracks/2Qgt58CMtZXxlrJsdlfDx7","https://api.spotify.com/v1/audio-analysis/2Qgt58CMtZXxlrJsdlfDx7",259074,4,"Maxwell"
